sentence frame,biasing context,biasing context distance,sentence,# syllables distance (from after target word to first syllable of context word),Used in Experiments 1-2,Used in Experiments 3-4
11,tent,short,"Once the tent had been  set up successfully, we made camp for the night.",3,N,Y
11,tent,long,"Once the tent had been successfully set up, we made camp for the night.",7,N,Y
11,dent,short,"Once the dent in the wall had been repaired successfully, we were relieved.",3,N,Y
11,dent,long,"Once the dent had been repaired in the wall successfully, we were relieved.",7,N,Y
12,tent,short,"Although the tent could weather the storm, it was ugly.",2,N,Y
12,tent,long,"Although the tent was ugly, it could weather the storm.",6,N,Y
12,dent,short,"Although the dent was bending the door, it looked fine.",2,N,Y
12,dent,long,"Although the dent looked fine, it was bending the door.",5,N,Y
13,tent,short,"Although the tent in the store seemed large, it wasn't big enough for us.",3,N,Y
13,tent,long,"Although the tent seemed large when we saw it in the store, it wasn't big enough for us.",9,N,Y
13,dent,short,"Although the dent in the car seemed large, it wasn't that bad.",3,N,Y
13,dent,long,"Although the dent seemed large when we saw it in the car, it wasn't that bad.",9,N,Y
15,tent,short,"Since the tent was quite sturdy, the family ended up camping a lot.",3,N,Y
15,tent,long,"Since the tent the family got was quite sturdy, they ended up camping a lot.",7,N,Y
15,dent,short,"Since the dent in the car was quite serious, the family needed to get it repaired.",3,N,Y
15,dent,long,"Since the dent the family got in the car was quite serious, it needed to be repaired.",7,N,Y
16,tent,short,"Although the tent got all packed up quickly, it was very difficult.",3,N,Y
16,tent,long,"Although the tent was difficult to pack up, we did it quickly.",6,N,Y
16,dent,short,"Although the dent got all fixed up quickly, it was very difficult.",3,N,Y
16,dent,long,"Although the dent was difficult to fix up, we did it quickly.",6,N,Y
17,tent,short,"Since the tent was quite flimsy, it didn't weather the storm.",3,N,Y
17,tent,long,"Since the tent was incredibly flimsy, it didn't weather the storm.",6,N,Y
17,dent,short,"Since the dent was quite deep, it was hard to fix.",3,N,Y
17,dent,long,"Since the dent extended very deep, it was hard to fix.",6,N,Y
18,tent,short,"After the tent on the peak was spotted, the mountaineers were relieved.",3,N,Y
18,tent,long,"After the tent was spotted on the peak by the mountaineers, they were relieved.",6,N,Y
18,dent,short,"After the dent on the truck was spotted, the driver was worried.",3,N,Y
18,dent,long,"After the dent was spotted on the truck, the driver was worried.",6,N,Y
19,tent,short,"Although our tent wasn't sturdy enough to handle the wind, it was well concealed.",3,N,Y
19,tent,long,"Although our tent was well concealed, it wasn't sturdy enough to handle the wind.",9,N,Y
19,dent,short,"Although the dent ruined the metal of the car, we concealed it well.",4,N,Y
19,dent,long,"Although the dent was well concealed, it ruined the metal of the car.",9,N,Y
20,tent,short,"Although the tent in the forest looked like it had been there for a while, it was new.",3,N,Y
20,tent,long,"Although the tent looked like it had been in the forest for a while, it was new.",8,N,Y
20,dent,short,"Although the dent in the trumpet looked like it had been there for a while, it was new.",3,N,Y
20,dent,long,"Although the dent looked like it had been in the trumpet for a while, it was new.",8,N,Y
21,tent,short,"Although the tent in the campsite was easy to repair, we didn't have the right tools.",3,N,Y
21,tent,long,"Although the tent was easy to repair at the campsite, we didn't have the right tools.",9,N,Y
21,dent,short,"Although the dent in the car was easy to repair, the mechanic didn't have the right tools.",3,N,Y
21,dent,long,"Although the dent was easy to repair for the mechanic, he didn't have the right tools.",9,N,Y
